องค์การขนส่งมวลชนกรุงเทพฯ,องค์การขนส่งมวลชนกรุงเทพ
สำนักงานสลากกินแบ่งฯ,สำนักงานสลากกินแบ่งรัฐบาล
สภาสังคมสงเคราะห์ฯ,สภาสังคมสงเคราะห์แห่งประเทศไทย
สนง.ท่องเที่ยวฯ,สำนักงานท่องเที่ยวแห่งประเทศไทย
สนง.ท่องเที่ยวฯ,กระทรวงการท่องเที่ยวและกีฬา
ขอให้ดําเนินการ,โปรดพิจารณาดําเนินการ
ทูลเกล้าฯ ถวาย,ทูลเกล้าทูลกระหม่อมถวาย
สมาพันธ์ขนส่งฯ,สหพันธ์การขนส่งทางบกแห่งประเทศไทย
ป. พิบูลสงคราม,จอมพล แปลก พิบูลสงคราม
กระทรวงเกษตรฯ,กระทรวงเกษตรและสหกรณ์
กระทรวงวิทย์ฯ,กระทรวงวิทยาศาสตร์และเทคโนโลยี
กระทรวงศึกษาฯ,กระทรวงศึกษาธิการ
กองทุนน้ำมันฯ,สำนักงานกองทุนน้ำมันเชื้อเพลิง
เขื่อนป่าสักฯ,เขื่อนป่าสักชลสิทธิ์
วิทยาศาสตร์ฯ,วิทยาศาสตร์
สหภาพแรงงานฯ,สหภาพแรงงาน
ที่ดินส.ป.ก.,ที่ดินสำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม
วัดมหาธาตุฯ,วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร
พ.ต.อ.พิเศษ,พันตำรวจเอกพิเศษ
ติดต่อไปยัง,ประสานงานไปยัง
ในเรื่องนี้,ในกรณีนี้
ยังไม่ได้ทำ,ยังไม่ได้ดำเนินการแต่อย่างใด
โปรดอนุมัติ,โปรดพิจารณาอนุมัติกรมอุทยานฯ,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช
โปรดเกล้าฯ,โปรดเกล้าโปรดกระหม่อม
พระนครศรีฯ,จังหวัดพระนครศรีอยุธยา
แมนฯ ซิตี้,สโมสรฟุตบอลแมนเชสเตอร์ซิตี
สำนักพุทธฯ,สำนักงานพระพุทธศาสนาแห่งชาติ
ขอเตือนว่า,ขอเรียนให้ทราบว่า
กรมวิทย์ฯ,กรมวิทยาศาสตร์การแพทย์
กรมศิลป์ฯ,กรมศิลปากร
ทูลเกล้าฯ,ทูลเกล้าทูลกระหม่อม
สุราษฎร์ฯ,จังหวัดสุราษฎร์ธานี
พ.อ.พิเศษ,พันเอกพิเศษ
เดี๋ยวนี้,ขณะนี้	
เหมือนกัน,เช่นเดียวกัน
เสร็จแล้ว,แล้วเสร็จ	
ใช้ไม่ได้,ยังต้องปรับปรุง
กรุงเทพฯ,กรุงเทพมหานคร
กรุงศรีฯ,กรุงศรีอยุธยา
กองปราบฯ,กองบังคับการปราบปราม
การเคหะฯ,การเคหะแห่งชาติ
เกียรติฯ,เกียรติยศ
ทำเนียบฯ,ทำเนียบรัฐบาล
พระเมรุฯ,พระเมรุมาศ
มัชฌิมาฯ,มัชฌิมาธิปไตย
กรป.กลาง,กองอำนวยการกลางรักษาความปลอดภัยแห่งชาติ
ร.ย.ส.ท.,ราชยานยนต์สมาคมแห่งประเทศไทยในพระบรมราชูปถัมภ์
ส.ว.ส.ท.,สมาคมวิทยุสมัครเล่นแห่งประเทศไทย
ส.ส.ปชป.,สมาชิกสภาผู้แทนราษฏร พรรคประชาธิปัตย์
อ.ส.ม.ท.,องค์การสื่อสารมวลชนแห่งประเทศไทย
ไม่สมควร,มิชอบ
เมื่อไหร,เมื่อใด
ขอเชิญมา,ขอเชิญไป
กรมศุลฯ,กรมศุลกากร
ขอเดชะฯ,ขอเดชะ ฝ่าละอองธุลีพระบาทปกเกล้าปกกระหม่อม
นิรโทษฯ,นิรโทษกรรม
บริษัทฯ,บริษัท
ประจวบฯ,จังหวัดประจวบคีรีขันธ์
ผู้แทนฯ,ผู้แทนราษฎร
ผู้ว่าฯ,ผู้ว่าราชการ
ฝั่งธนฯ,เขตธนบุรี
มหกรรมฯ,มหกรรม
มัฆวานฯ,สะพานมัฆวานรังสรรค์
สุพรรณฯ,จังหวัดสุพรรณบุรี
อธิการฯ,อธิการบดี
อสังหาฯ,อสังหาริมทรัพย์
อุทยานฯ,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช
กป.อพช.,คณะกรรมการประสานงานองค์กรพัฒนาเอกชนชนบท
กอ.รมน.,กองอำนวยการรักษาความมั่นคงภายใน
ผบ.ช.ก.,กองบัญชาการตำรวจสอบสวนกลาง
ผบก.ทล.,ผู้บังคับการตำรวจทางหลวง
ผว.กทม.,ผู้ว่าราชการกรุงเทพมหานคร
พล.ต.ต.,นายพลตำรวจตรี
พล.ต.ท.,นายพลตำรวจโท
พล.ต.อ.,นายพลตำรวจเอก
พล.ร.ต.,	พลเรือตรี
พล.ร.ท.,พลเรือโท
พล.อ.อ.,พลอากาศเอก
มม.ปรอท,มิลลิเมตรปรอท
รร.จปร.,โรงเรียนนายร้อยพระจุลจอมเกล้า
อย่างไร,เช่นใด
ต้องการ,ประสงค์
เทคโนฯ,เทคโนโลยี
พฤหัสฯ,พฤหัสบดี
แมนยูฯ,สโมสรฟุตบอลแมนเชสเตอร์ยูไนเต็ด
แมนฯยู,สโมสรฟุตบอลแมนเชสเตอร์ยูไนเต็ด
สหรัฐฯ,สหรัฐอเมริกา
สัตย์ฯ,สัตย์ปฏิญาณ
อินโดฯ,ประเทศอินโดนีเซีย
ก.ป.ส.,กรมประชาสัมพันธ์
ก.พ.ด.,กองทุน พัฒนา เด็ก และ เยาวชน ใน ถิ่น ทุรกันดาร
ก.ล.ต.,​คณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์
ขส.ทบ.,กรมการขนส่งทหารบก
ขส.ทร.,กรมการขนส่งทหารเรือ
ขส.มก.,องค์การขนส่งมวลชนกรุงเทพ
ค.ร.น.,ตัวคูณร่วมน้อย
จ.ส.อ.,จ่าสิบเอก
จส.100,วิทยุข่าวสารและการจราจร 100
ช.ค.บ.,เงินพิเศษช่วยค่าครองชีพผู้รับเบี้ยหวัดบำนาญ
ช.บ.ร.,ชุดรักษาความปลอดภัยหมู่บ้าน
ต.ช.ด.,กองบัญชาการตำรวจตระเวนชายแดน
ท.ร.ท.,โทรทัศน์รวมการเฉพาะกิจแห่งประเทศไทย
ที.วี.,โทรทัศน์
ธ.ก.ส.,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร
น.ส.พ.,หนังสือพิมพ์
บ.ด.ท.,บริษัท เดินอากาศไทย จำกัด
บก.จร.,กองบังคับการตำรวจจราจร
ป.ป.ง.,สำนักงานป้องกันและปราบปรามการฟอกเงิน
ป.ป.ช.,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ
ป.ป.ป.,สำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตในภาครัฐ
ป.ป.ส.,คณะกรรมการป้องกันและปราบปรามยาเสพติด
ผบ.ทบ.,ผู้บัญชาการทหารบก
ผบ.ทร.,ผู้บัญชาการทหารเรือ
ผบ.ทอ.,ผู้บัญชาการทหารอากาศ
ผบ.สส.,ผู้บัญชาการทหารสูงสุด
ผบช.น.,กองบัญชาการตำรวจนครบาล
พ.ก.ง.,พัสดุเก็บเงินปลายทาง
พ.ต.ต.,นายพันตำรวจตรี
พ.ต.ท.,นายพันตำรวจโท
พ.ต.อ.,นายพันตำรวจเอก
พ.ร.ก.,พระราชกำหนด
พ.ร.ฎ.,พระราชกฤษฎีกา
พ.ร.บ.,พระราชบัญญัติ
พ.อ.ต.,พันจ่าอากาศตรี
พ.อ.ท.,พันจ่าอากาศโท
พ.อ.อ.,พันจ่าอากาศเอก
พอ.สว.,มูลนิธิแพทย์อาสาสมเด็จพระศรีนครินทราบรมราชชนนี
ภ.ง.ด.,ภาษีเงินได้
ภ.ป.ร.,ภูมิพล บรมราชาธิราช
ม.ร.ว.,หม่อมราชวงศ์
