กรมวิทย์ฯ,กรมวิทยาศาสตร์การแพทย์
กรมศิลป์ฯ,กรมศิลปากร
กรมศุลฯ,กรมศุลกากร
กรมอุทยานฯ,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช
กระทรวงเกษตรฯ,กระทรวงเกษตรและสหกรณ์
กระทรวงวิทย์ฯ,กระทรวงวิทยาศาสตร์และเทคโนโลยี
กระทรวงศึกษาฯ,กระทรวงศึกษาธิการ
กรุงเทพฯ,กรุงเทพมหานคร
กรุงศรีฯ,กรุงศรีอยุธยา
กองทุนน้ำมันฯ,สำนักงานกองทุนน้ำมันเชื้อเพลิง
กองปราบฯ,กองบังคับการปราบปราม
การเคหะฯ,การเคหะแห่งชาติ
เกียรติฯ,เกียรติยศ
ขอเดชะฯ,ขอเดชะ ฝ่าละอองธุลีพระบาทปกเกล้าปกกระหม่อม
เขื่อนป่าสักฯ,เขื่อนป่าสักชลสิทธิ์
คอมฯ,คอมพิวเตอร์
โฆษกฯ,โฆษกรัฐบาล
จุฬาฯ,จุฬาลงกรณ์มหาวิทยาลัย
ซาอุฯ,ซาอุดีอาระเบีย
ตุลาฯ,ตุลาคม
ทำเนียบฯ,ทำเนียบรัฐบาล
ทูลเกล้าฯ ถวาย,ทูลเกล้าทูลกระหม่อมถวาย
ทูลเกล้าฯ,ทูลเกล้าทูลกระหม่อม
เทคโนฯ,เทคโนโลยี
นราฯ,นราธิวาส
นายกฯ,นายกรัฐมนตรี
นิรโทษฯ,นิรโทษกรรม
บริษัทฯ,บริษัท
ปทุมฯ,จังหวัดปทุมธานี
ประจวบฯ,จังหวัดประจวบคีรีขันธ์
ปากีฯ,ประเทศปากีสถาน
โปรดเกล้าฯ,โปรดเกล้าโปรดกระหม่อม
โปรดฯ,โปรด
ผู้แทนฯ,ผู้แทนราษฎร
ผู้ว่าฯ,ผู้ว่าราชการ
ฝั่งธนฯ,เขตธนบุรี
พระนครศรีฯ,จังหวัดพระนครศรีอยุธยา
พระเมรุฯ,พระเมรุมาศ
พฤหัสฯ,พฤหัสบดี
พลฯ,พลทหาร
มหกรรมฯ,มหกรรม
มัฆวานฯ,สะพานมัฆวานรังสรรค์
มัชฌิมาฯ,มัชฌิมาธิปไตย
เมษาฯ,เมษายน
แมนยูฯ,สโมสรฟุตบอลแมนเชสเตอร์ยูไนเต็ด
แมนฯ ซิตี้,สโมสรฟุตบอลแมนเชสเตอร์ซิตี
แมนฯยู,สโมสรฟุตบอลแมนเชสเตอร์ยูไนเต็ด
ยูคาฯ,ยูคารับถวาย
เลขาฯ,เลขาธิการ
วัดมหาธาตุฯ,วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร
วิทยาศาสตร์ฯ,วิทยาศาสตร์
สกลฯ,จังหวัดสกลนคร
สนง.ท่องเที่ยวฯ,สำนักงานท่องเที่ยวแห่งประเทศไทย
สภาสังคมสงเคราะห์ฯ,สภาสังคมสงเคราะห์แห่งประเทศไทย
สมาพันธ์ขนส่งฯ,สหพันธ์การขนส่งทางบกแห่งประเทศไทย
สหภาพแรงงานฯ,สหภาพแรงงาน
สหรัฐฯ,สหรัฐอเมริกา
สัตย์ฯ,สัตย์ปฏิญาณ
สำนักงานสลากกินแบ่งฯ,สำนักงานสลากกินแบ่งรัฐบาล
สำนักพุทธฯ,สำนักงานพระพุทธศาสนาแห่งชาติ
สุพรรณฯ,จังหวัดสุพรรณบุรี
สุราษฎร์ฯ,จังหวัดสุราษฎร์ธานี
องค์การขนส่งมวลชนกรุงเทพฯ,องค์การขนส่งมวลชนกรุงเทพ
อธิการฯ,อธิการบดี
อรัญฯ,อำเภออรัญประเทศ
อสังหาฯ,อสังหาริมทรัพย์
อินโดฯ,ประเทศอินโดนีเซีย
อุตุฯ,กรมอุตุนิยมวิทยา
อุทยานฯ,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช
อุบลฯ,จังหวัดอุบลราชธานี
ฯพณฯ,ฯพณฯ
ฯลฯ,ฯลฯ
ก.ค.,กรกฎาคม
ก.ต.,สำนักคณะกรรมการตุลาการศาลยุติธรรม
ก.ป.ส.,กรมประชาสัมพันธ์
ก.พ.,คณะกรรมการข้าราชการพลเรือน
ก.พ.ด.,กองทุน พัฒนา เด็ก และ เยาวชน ใน ถิ่น ทุรกันดาร
ก.ม.,กิโลเมตร
ก.ย.,กันยายน
ก.ร.,คณะกรรมการข้าราชการรัฐสภา
ก.ล.ต.,​คณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์
ก.ว.,คณะกรรมการควบคุมการประกอบวิชาชีพวิศวกรร
กก.,สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร
กกจ.,กองการเจ้าหน้าที่
กกต.,สำนักงานคณะกรรมการการเลือกตั้ง
กกท.,การกีฬาแห่งประเทศไทย
กคช.,การเคหะแห่งชาติ
กทช.,คณะกรรมการกิจการโทรคมนาคมแห่งชาติ
กทท.,การท่าเรือแห่งประเทศไทย
กทธ.,กรมทรัพยากรธรณี
กทพ.,การทางพิเศษแห่งประเทศไทย
กทภ.,ท่าอากาศยานอู่ตะเภา
กทม.,กรุงเทพมหานคร
กน.,กรมการค้าภายใน
กนข.,สำนักงานคณะกรรมการนโยบายและมาตรการข้าว
กนง.,คณะกรรมการนโยบายการเงิน
กนอ.,การนิคมอุตสาหกรรมแห่งประเทศไทย
กบข.,กองทุนบำเหน็จบำนาญข้าราชการ
กบง.,คณะกรรมการบริหารนโยบายพลังงาน
กบว.,คณะกรรมการบริหารวิทยุกระจายเสียงและวิทยุโทรทัศน์
กป.อพช.,คณะกรรมการประสานงานองค์กรพัฒนาเอกชนชนบท
กปจ.,คณะกรรมการการประถมศึกษาจังหวัด
กปช.,คณะกรรมการการประถมศึกษาแห่งชาติ
กปน.,การประปานครหลวง
กปภ.,การประปาส่วนภูมิภาค
กปร.,คณะกรรมการประสานงานโครงการอันเนื่องมาจากพระราชดำริ
กปส.,กรมประชาสัมพันธ์
กปอ.,คณะกรรมการป้องกันอุบัติภัยแห่งชาติ
กพค.,คณะกรรมการพิทักษ์ระบบคุณธรรม
กพช.,คณะกรรมการนโยบายพลังงานแห่งชาติ
กฟน.,การไฟฟ้านครหลวง
กฟผ.,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย
กฟภ.,การไฟฟ้าส่วนภูมิภาค
กม.,กิโลเมตร
กยต.,การยางแห่งประเทศไทย
กรป.กลาง,กองอำนวยการกลางรักษาความปลอดภัยแห่งชาติ
